Gender,AgeGroup,Program,Income,State,Device,OS,Browser,option,click
1,0,A,63397,NJ,Mobile,Windows,Chrome,B,0
0,4,E,328419,NY,Desktop,Windows,Chrome,A,0
1,4,C,88663,NY,Mobile,Windows,Opera,A,0
1,3,A,101638,TX,Desktop,Apple,Chrome,A,1
1,3,D,164963,CA,Mobile,Windows,Chrome,B,0
1,1,C,479666,TX,Mobile,Apple,Chrome,A,0
0,5,A,88146,CA,Desktop,Apple,Chrome,A,0
1,4,A,330830,NY,Mobile,Windows,Chrome,B,0
1,1,C,111586,NY,Tablet,Windows,Chrome,B,0
1,1,E,106841,CA,Tablet,Windows,Chrome,A,0
1,2,NA,153474,CA,Mobile,Apple,Chrome,A,0
0,6,E,109924,TX,Desktop,Windows,Chrome,B,0
0,0,C,61631,CA,Desktop,Apple,Safari,A,0
1,3,C,431825,NY,Mobile,Apple,Chrome,B,0
1,4,E,99428,CA,Desktop,Apple,Opera,A,0
1,2,C,344253,CA,Mobile,Apple,Chrome,A,0
1,3,E,461925,NY,Desktop,Windows,Opera,A,0
0,3,A,237965,NJ,Desktop,Apple,Chrome,A,0
0,6,A,336250,NY,Mobile,Windows,Chrome,B,0
0,0,A,464664,CA,Desktop,Apple,Chrome,A,0
0,0,A,465778,NJ,Desktop,Apple,Chrome,A,0
0,5,E,298110,NY,Desktop,Apple,Safari,A,0
0,6,C,193811,CA,Mobile,Windows,Chrome,B,0
0,6,C,334470,NY,Desktop,Apple,Chrome,A,1
1,4,A,331796,CA,Mobile,Apple,Chrome,A,0
1,4,E,342101,NA,Mobile,Apple,Safari,A,1
1,2,E,440747,NJ,Mobile,Apple,Chrome,A,1
1,2,C,205650,CA,Mobile,Apple,Chrome,A,0
0,0,E,219071,CA,Mobile,Apple,Chrome,B,0
1,3,E,365846,TX,Mobile,Apple,Chrome,B,0
0,NA,E,420090,NY,Desktop,Apple,Chrome,A,0
1,3,D,243722,NA,Mobile,Windows,Chrome,A,0
1,2,A,369051,CA,Desktop,Windows,Chrome,B,0
1,5,C,306961,NY,Mobile,Windows,Chrome,B,0
0,4,C,420467,CA,Mobile,Apple,Chrome,A,0
1,3,D,313204,CA,Mobile,Windows,Chrome,B,0
1,5,E,445304,CA,Desktop,Apple,Chrome,A,0
1,3,C,197496,NY,Mobile,Windows,Safari,B,0
0,5,B,373094,CA,Mobile,Windows,Chrome,B,0
1,4,E,279345,TX,Mobile,Windows,Safari,A,0
1,3,D,217181,CA,Desktop,Apple,Opera,B,0
1,1,D,457373,NY,Mobile,Windows,Safari,A,0
0,3,E,145080,CA,Desktop,Apple,Chrome,A,0
0,1,E,296389,NY,Desktop,Apple,Chrome,A,0
0,0,A,138333,NA,Desktop,Apple,Chrome,B,0
0,6,E,204213,NJ,Mobile,Windows,Chrome,A,0
1,5,C,367711,NY,Mobile,Windows,Safari,B,0
0,3,E,443359,CA,Mobile,Apple,Safari,B,0
1,5,E,287080,TX,Mobile,Apple,Safari,A,0
0,3,E,301275,NY,Desktop,Apple,Chrome,B,0
1,0,D,323737,CA,Desktop,Windows,Chrome,B,0
0,4,E,78112,NA,Mobile,Apple,Safari,A,0
0,4,NA,378127,NY,Desktop,Apple,Chrome,A,0
0,0,C,378561,TX,Mobile,Windows,Chrome,B,0
0,0,A,364536,CA,Desktop,Windows,Safari,A,1
1,4,E,161622,TX,Desktop,Apple,Chrome,B,0
0,5,A,381378,NY,Mobile,Apple,Safari,B,0
0,5,NA,446066,CA,Desktop,Windows,Opera,B,0
1,3,E,492380,NY,Desktop,Windows,Chrome,B,0
0,1,D,126566,NJ,Mobile,Apple,Chrome,A,0
0,4,D,377901,NJ,Mobile,Windows,Chrome,A,0
0,3,E,139882,NJ,Desktop,Windows,Chrome,A,0
0,0,B,391441,NA,Desktop,Windows,Chrome,A,0
0,5,E,167592,CA,Desktop,Apple,Chrome,A,0
1,2,A,81826,NA,Desktop,Apple,Chrome,B,0
1,5,A,446238,NY,Mobile,Windows,Chrome,A,0
1,4,C,244161,CA,Desktop,Windows,Safari,A,1
1,4,D,440628,NY,Mobile,Windows,Safari,B,0
1,3,E,101419,NY,Mobile,Apple,Chrome,A,1
1,NA,E,498400,CA,Mobile,Windows,Safari,A,0
0,5,E,61168,CA,Desktop,Apple,Chrome,A,0
1,2,D,250234,CA,Desktop,Apple,Safari,A,0
0,4,E,224533,NY,Desktop,Apple,Chrome,B,0
0,4,E,433118,NY,Mobile,Apple,Chrome,A,0
0,3,E,158526,NY,Mobile,Windows,Chrome,A,0
1,2,A,282048,NJ,Mobile,Apple,Chrome,B,0
1,5,A,239544,NJ,Mobile,Apple,Chrome,B,0
0,4,A,378567,NJ,Mobile,Apple,Chrome,B,0
1,3,A,463564,NY,Mobile,Windows,Chrome,A,0
0,3,NA,263067,CA,Mobile,Apple,Chrome,A,1
0,4,D,129960,NA,Desktop,Windows,Safari,B,0
0,4,C,425647,CA,Mobile,Windows,Safari,B,0
1,6,E,484430,CA,Mobile,Apple,Chrome,B,0
1,1,A,66643,NY,Desktop,Apple,Chrome,A,0
0,0,E,191552,CA,Mobile,Windows,Chrome,A,0
0,2,E,128597,NJ,Mobile,Apple,Safari,B,0
0,0,A,364057,NA,Mobile,Apple,Safari,A,0
1,3,E,413115,NJ,Mobile,Windows,Safari,B,0
1,0,E,397851,NJ,Mobile,Apple,Chrome,A,0
0,5,C,417841,NY,Mobile,Apple,Chrome,B,0
0,2,NA,216363,CA,Desktop,Windows,Chrome,A,0
1,2,E,167965,CA,Desktop,Windows,Safari,A,0
0,2,A,338652,CA,Mobile,Apple,Chrome,A,0
1,NA,C,447739,CA,Mobile,Apple,Chrome,A,0
0,3,A,365781,NJ,Mobile,Windows,Chrome,B,0
0,5,E,469962,NA,Tablet,Windows,Chrome,B,0
0,3,A,497134,CA,Desktop,Windows,Safari,B,0
0,5,D,343434,NJ,Mobile,Windows,Safari,B,0
0,1,C,463730,CA,Mobile,Apple,Chrome,A,0
0,6,E,147155,NA,Mobile,Apple,Safari,A,0
0,3,E,143651,NY,Mobile,Windows,Chrome,B,0
0,3,E,259315,NY,Mobile,Windows,Opera,B,0
0,5,B,54589,CA,Mobile,Windows,Chrome,A,0
1,3,C,245138,NY,Desktop,Windows,Chrome,B,0
1,6,D,196305,NJ,Mobile,Windows,Safari,A,0
0,5,E,212129,NJ,Mobile,Windows,Safari,B,0
1,2,D,65690,NY,Desktop,Windows,Safari,A,0
0,4,D,487833,NJ,Mobile,Apple,Safari,B,0
1,2,A,131695,TX,Mobile,Windows,Chrome,A,0
1,6,E,53387,NY,Desktop,Apple,Opera,B,0
0,4,E,246719,CA,Mobile,Apple,Safari,B,0
0,1,NA,401245,CA,Desktop,Windows,Safari,A,0
1,2,C,332873,NY,Desktop,Apple,Safari,A,1
1,4,E,398861,TX,Mobile,Windows,Chrome,B,0
0,2,C,424645,CA,Mobile,Apple,Safari,B,0
1,4,A,475260,NY,Mobile,Apple,Safari,B,0
1,3,C,225596,NJ,Mobile,Windows,Chrome,B,0
0,2,A,126603,NY,Desktop,Windows,Chrome,B,0
0,4,C,465949,CA,Mobile,Apple,Safari,B,0
1,2,E,147375,NY,Mobile,Apple,Opera,A,0
0,2,E,105833,CA,Desktop,Apple,Opera,B,0
1,4,A,349680,NY,Desktop,Windows,Chrome,B,1
0,3,D,404756,CA,Desktop,Apple,Chrome,B,0
0,1,D,408958,NY,Desktop,Apple,Chrome,B,0
1,1,E,52474,CA,Mobile,Windows,Chrome,B,0
1,3,D,136408,CA,Desktop,Windows,Safari,B,0
0,0,C,250838,NA,Mobile,Apple,Safari,B,0
0,4,A,167793,CA,Desktop,Apple,Chrome,A,0
1,5,C,189039,CA,Mobile,Apple,Chrome,B,1
1,6,E,190409,NY,Desktop,Apple,Chrome,A,0
1,3,D,428542,NA,Desktop,Apple,Safari,A,0
0,5,C,319209,CA,Desktop,Apple,Chrome,A,0
0,4,C,468873,CA,Mobile,Apple,Safari,A,0
1,4,B,304694,NY,Desktop,Apple,Safari,B,0
1,3,D,126195,NJ,Mobile,Windows,Safari,A,0
0,NA,A,160226,NJ,Mobile,Apple,Chrome,B,0
1,0,C,109786,NJ,Desktop,Apple,Chrome,B,1
1,5,NA,125354,NJ,Mobile,Apple,Chrome,B,0
0,3,A,384463,NY,Desktop,Apple,Chrome,B,0
0,4,E,209652,NJ,Desktop,Windows,Chrome,A,0
0,4,D,187793,NY,Desktop,Windows,Chrome,B,0
1,3,D,263148,NY,Mobile,Windows,Chrome,B,0
0,2,E,308919,NJ,Tablet,Apple,Chrome,A,0
0,3,D,233890,NY,Mobile,Windows,Chrome,A,0
0,3,E,152965,NJ,Desktop,Windows,Safari,B,0
0,3,D,142519,TX,Tablet,Windows,Chrome,A,1
1,1,D,368714,CA,Desktop,Apple,Safari,B,1
1,4,D,223868,NY,Mobile,Apple,Safari,A,0
1,2,E,493562,TX,Mobile,Apple,Safari,A,0
0,0,E,381995,NA,Desktop,Apple,Safari,B,0
0,3,A,291640,NJ,Desktop,Apple,Opera,B,0
1,1,E,170342,NJ,Desktop,Windows,Opera,A,0
0,5,E,323950,NJ,Mobile,Apple,Opera,B,0
0,2,D,395036,CA,Mobile,Apple,Chrome,B,0
0,6,D,160414,NY,Mobile,Windows,Chrome,A,0
1,6,E,241527,NY,Mobile,Windows,Safari,A,0
0,3,E,438987,CA,Tablet,Apple,Chrome,A,0
0,2,C,260508,NY,Mobile,Apple,Safari,A,0
1,4,A,379683,NJ,Mobile,Windows,Safari,B,0
0,4,E,219040,CA,Desktop,Apple,Opera,A,0
1,0,E,418190,NJ,Desktop,Apple,Opera,A,0
0,6,C,454902,NY,Mobile,Windows,Chrome,A,0
0,3,D,76544,NJ,Desktop,Windows,Chrome,A,0
1,6,E,445606,CA,Mobile,Windows,Safari,A,0
0,2,E,438640,NJ,Desktop,Apple,Chrome,A,1
1,5,A,117601,NY,Mobile,Apple,Safari,A,0
1,3,E,316243,NA,Desktop,Apple,Safari,A,0
0,4,E,101527,CA,Tablet,Windows,Safari,A,0
0,1,D,356366,NY,Desktop,Windows,Safari,B,0
1,1,D,308600,NY,Desktop,Apple,Safari,B,0
1,6,D,309904,CA,Desktop,Apple,Chrome,A,0
0,3,C,282041,NJ,Mobile,Windows,Chrome,A,0
1,2,C,387501,NY,Mobile,Apple,Chrome,B,0
0,5,A,486024,CA,Mobile,Apple,Safari,B,0
0,0,C,87318,CA,Mobile,Apple,Chrome,B,0
1,6,E,478472,NJ,Tablet,Windows,Chrome,A,0
1,2,A,73595,CA,Desktop,Apple,Chrome,A,0
0,4,E,133784,NY,Mobile,Apple,Safari,A,1
1,4,A,218575,NY,Desktop,Apple,Chrome,A,0
0,3,A,126726,CA,Mobile,Apple,Safari,A,1
1,2,C,214301,CA,Desktop,Apple,Safari,B,0
0,4,D,394329,CA,Desktop,Windows,Chrome,A,0
1,2,E,306490,CA,Mobile,Windows,Opera,B,0
0,2,A,370016,NJ,Mobile,Apple,Chrome,A,0
1,3,E,477890,NY,Desktop,Windows,Chrome,B,1
1,3,NA,339836,NJ,Mobile,Apple,Chrome,B,0
0,3,D,307150,NJ,Mobile,Windows,Safari,A,0
1,3,E,443413,CA,Mobile,Windows,Chrome,A,0
0,3,A,312659,CA,Mobile,Windows,Opera,B,0
0,2,D,468318,NJ,Desktop,Windows,Safari,B,0
1,3,E,390866,NJ,Mobile,Windows,Safari,B,0
1,2,E,292747,NY,Desktop,Apple,Safari,A,0
0,3,C,478425,NA,Desktop,Apple,Safari,B,0
1,3,A,396359,NY,Desktop,Windows,Chrome,B,0
1,1,C,404695,NY,Mobile,Apple,Safari,B,0
0,3,E,237638,NJ,Desktop,Windows,Safari,B,0
1,3,A,401584,NY,Mobile,Windows,Safari,A,0
0,4,E,244349,TX,Mobile,Windows,Safari,B,0
0,0,NA,358263,TX,Desktop,Apple,Safari,B,0
1,5,A,244970,CA,Desktop,Apple,Chrome,A,0
0,5,E,432032,CA,Desktop,Apple,Chrome,B,0
1,1,D,465662,NY,Desktop,Apple,Safari,A,0
1,4,E,275562,NY,Desktop,Apple,Safari,B,0
1,4,D,50584,NY,Mobile,Windows,Safari,B,0
1,3,E,396937,NY,Mobile,Windows,Chrome,A,1
1,4,C,264207,NY,Mobile,Windows,Chrome,B,0
1,3,C,148608,CA,Desktop,Windows,Chrome,B,0
0,0,E,112021,CA,Mobile,Apple,Chrome,A,0
1,4,D,412470,CA,Desktop,Apple,Safari,A,0
1,3,E,457175,NY,Mobile,Apple,Safari,A,0
1,5,D,208817,CA,Desktop,Apple,Safari,B,0
0,3,C,239960,CA,Desktop,Windows,Opera,B,0
0,4,C,166060,NY,Mobile,Apple,Safari,A,0
1,2,A,497992,NY,Mobile,Windows,Chrome,A,0
1,2,D,211360,TX,Desktop,Apple,Chrome,B,1
1,6,A,207003,NJ,Desktop,Apple,Chrome,A,0
0,4,C,402709,NJ,Mobile,Apple,Opera,A,0
1,1,A,448448,CA,Tablet,Apple,Chrome,B,0
1,NA,D,171188,CA,Desktop,Apple,Chrome,B,0
0,5,D,68506,TX,Mobile,Apple,Safari,B,0
1,5,E,82318,CA,Mobile,Windows,Chrome,A,0
0,3,NA,86950,NA,Mobile,Windows,Chrome,A,0
1,2,C,94668,NJ,Mobile,Windows,Safari,A,0
1,1,A,69216,NY,Tablet,Apple,Chrome,A,0
0,4,C,253709,NY,Desktop,Apple,Chrome,A,0
0,3,A,260557,NJ,Mobile,Apple,Chrome,B,0
1,2,D,123093,NJ,Mobile,Apple,Chrome,B,0
0,4,E,330461,NJ,Desktop,Apple,Chrome,A,0
0,3,D,51061,NJ,Desktop,Apple,Safari,A,1
0,3,E,405919,CA,Mobile,Apple,Chrome,B,1
0,3,E,202243,NY,Desktop,Apple,Chrome,A,0
0,6,E,481569,TX,Mobile,Windows,Safari,A,1
0,NA,A,290883,TX,Mobile,Windows,Chrome,A,0
1,2,D,187125,NJ,Mobile,Windows,Chrome,B,0
1,1,C,473096,NJ,Mobile,Apple,Chrome,A,0
0,3,D,165766,NY,Desktop,Apple,Safari,B,0
0,4,NA,369910,NA,Desktop,Apple,Chrome,B,1
1,0,D,127492,CA,Mobile,Apple,Chrome,B,0
0,4,C,327180,NJ,Mobile,Apple,Chrome,B,1
1,3,D,72923,NY,Mobile,Windows,Chrome,A,0
0,0,A,80692,NJ,Mobile,Apple,Chrome,A,0
0,1,A,454841,NA,Desktop,Apple,Safari,A,0
1,2,A,452880,NJ,Mobile,Apple,Opera,A,0
0,3,D,313473,NY,Mobile,Apple,Chrome,A,0
0,2,D,487865,NJ,Mobile,Apple,Chrome,A,0
0,3,C,299112,CA,Desktop,Apple,Safari,A,0
0,4,E,441136,NY,Mobile,Windows,Chrome,A,0
0,6,D,85906,NY,Desktop,Windows,Safari,B,0
1,2,E,135092,NJ,Desktop,Windows,Chrome,A,0
0,0,E,132790,NJ,Mobile,Windows,Safari,B,0
0,4,NA,456230,NA,Desktop,Windows,Safari,A,0
1,6,A,287599,TX,Desktop,Windows,Safari,B,0
1,5,E,425182,CA,Mobile,Apple,Chrome,A,0
1,4,D,284221,NA,Mobile,Apple,Safari,A,0
1,4,D,382376,CA,Mobile,Apple,Safari,A,0
0,2,A,436320,NJ,Mobile,Apple,Safari,B,0
0,1,D,446942,NY,Mobile,Windows,Chrome,A,0
1,0,E,56170,NJ,Mobile,Windows,Opera,B,0
1,2,D,490671,CA,Desktop,Apple,Chrome,A,0
0,5,A,481111,NY,Desktop,Windows,Chrome,B,0
1,2,A,415664,TX,Desktop,Apple,Chrome,A,0
0,0,A,332737,NY,Mobile,Windows,Opera,A,0
0,1,A,289932,CA,Mobile,Apple,Chrome,A,0
0,1,E,121820,CA,Mobile,Windows,Chrome,B,0
0,1,A,379302,NJ,Mobile,Apple,Chrome,B,0
1,0,E,260890,NJ,Desktop,Apple,Chrome,B,0
0,3,D,111171,NY,Mobile,Windows,Chrome,B,0
1,3,E,168234,NY,Mobile,Apple,Chrome,A,0
0,4,A,310571,NY,Mobile,Apple,Safari,A,0
0,1,A,253844,NJ,Mobile,Apple,Chrome,B,0
0,1,D,310968,NY,Mobile,Windows,Safari,B,0
1,2,E,447710,CA,Desktop,Apple,Chrome,B,0
1,3,E,63463,NA,Mobile,Apple,Chrome,A,0
0,4,E,334647,CA,Mobile,Windows,Chrome,A,0
1,4,A,494447,NJ,Desktop,Windows,Chrome,B,0
1,3,C,121759,TX,Mobile,Apple,Chrome,A,0
1,5,D,352529,TX,Mobile,Windows,Safari,B,0
1,3,E,315429,NY,Desktop,Windows,Chrome,B,1
1,4,B,265935,CA,Mobile,Apple,Chrome,B,0
0,2,D,383162,CA,Desktop,Apple,Chrome,B,0
1,3,A,119275,NA,Mobile,Apple,Chrome,B,0
1,0,D,183044,NY,Mobile,Windows,Opera,A,0
0,4,D,192633,NJ,Mobile,Windows,Chrome,A,0
0,5,D,202727,CA,Mobile,Apple,Safari,A,0
0,4,D,252145,TX,Mobile,Windows,Chrome,A,0
0,4,E,442223,CA,Mobile,Apple,Chrome,A,0
0,1,D,311147,NJ,Desktop,Apple,Chrome,A,0
1,2,A,387913,TX,Mobile,Apple,Safari,A,0
0,4,E,370996,CA,Desktop,Windows,Chrome,B,1
0,1,D,390591,TX,Desktop,Windows,Chrome,B,0
1,3,D,168659,CA,Desktop,Apple,Chrome,B,0
1,2,E,130908,NY,Mobile,Windows,Safari,A,0
1,6,C,380089,CA,Desktop,Windows,Safari,A,0
0,3,C,376005,NY,Mobile,Windows,Chrome,B,0
0,2,D,460472,TX,Mobile,Apple,Safari,B,0
0,4,D,409993,NY,Mobile,Apple,Chrome,B,1
0,4,A,297885,CA,Mobile,Windows,Chrome,A,0
1,4,A,102246,NJ,Desktop,Apple,Chrome,B,0
0,6,E,444337,NJ,Mobile,Apple,Safari,B,0
0,3,D,123498,CA,Desktop,Windows,Chrome,A,0
1,5,E,232682,CA,Desktop,Windows,Safari,B,0
1,3,A,263778,NJ,Desktop,Windows,Safari,B,0
0,2,C,56011,CA,Mobile,Apple,Chrome,A,0
1,2,D,339011,CA,Desktop,Windows,Safari,A,0
1,4,C,260896,CA,Mobile,Apple,Chrome,B,0
0,0,D,109854,NJ,Mobile,Apple,Chrome,B,0
0,5,C,177922,TX,Mobile,Apple,Chrome,A,0
1,0,E,470339,CA,Mobile,Windows,Chrome,A,1
1,3,E,333739,CA,Mobile,Windows,Chrome,A,0
0,2,D,55981,NY,Mobile,Windows,Chrome,B,0
1,1,E,269129,NA,Mobile,Apple,Chrome,A,0
0,4,A,132748,CA,Desktop,Apple,Safari,A,0
1,4,NA,327350,NA,Tablet,Windows,Chrome,A,0
0,2,D,370232,CA,Mobile,Windows,Safari,B,1
1,NA,A,424318,NJ,Desktop,Apple,Chrome,B,0
0,6,C,81324,CA,Mobile,Windows,Safari,A,0
0,2,A,174240,TX,Desktop,Apple,Safari,A,0
0,5,E,291003,NJ,Desktop,Apple,Chrome,A,0
0,3,E,461106,NY,Mobile,Apple,Safari,A,0
0,6,A,84709,NJ,Desktop,Windows,Chrome,A,0
1,NA,NA,68535,CA,Desktop,Windows,Safari,B,1
1,5,E,182013,NY,Mobile,Windows,Chrome,A,0
0,2,A,165210,NY,Desktop,Apple,Opera,B,0
0,4,D,158418,NJ,Desktop,Windows,Chrome,B,0
0,2,C,135083,NY,Desktop,Apple,Chrome,B,0
0,3,A,342022,CA,Mobile,Apple,Safari,B,0
0,2,A,320634,NA,Desktop,Apple,Safari,B,0
0,6,E,239440,NY,Mobile,Apple,Safari,A,0
1,1,D,126739,NY,Desktop,Windows,Safari,A,1
1,3,C,244858,TX,Mobile,Windows,Chrome,B,0
1,3,D,235841,TX,Mobile,Apple,Chrome,A,0
1,1,E,475594,CA,Mobile,Windows,Safari,A,0
0,4,E,218834,NJ,Desktop,Windows,Safari,B,0
0,6,D,432887,NY,Desktop,Apple,Chrome,B,0
0,4,E,246919,CA,Mobile,Windows,Chrome,A,0
0,4,A,369632,CA,Mobile,Windows,Chrome,A,0
0,3,B,348308,TX,Tablet,Apple,Chrome,A,1
1,3,E,82926,NJ,Mobile,Windows,Chrome,A,0
0,3,D,303080,NY,Tablet,Apple,Chrome,B,0
0,3,E,442496,CA,Mobile,Windows,Chrome,A,0
0,1,A,488505,NJ,Mobile,Apple,Chrome,A,0
0,1,E,443015,CA,Mobile,Apple,Chrome,B,0
0,4,A,311143,NJ,Mobile,Windows,Safari,B,0
1,1,C,273668,NJ,Desktop,Apple,Chrome,A,0
1,3,E,270453,NY,Mobile,Windows,Chrome,B,0
0,6,D,58065,NJ,Desktop,Windows,Safari,A,0
1,6,NA,411038,NY,Mobile,Windows,Chrome,B,0
0,4,B,194906,CA,Desktop,Apple,Safari,A,0
1,4,D,322705,NA,Mobile,Apple,Chrome,A,0
1,3,D,285764,NJ,Tablet,Apple,Chrome,A,0
1,5,C,105777,CA,Mobile,Windows,Safari,A,0
1,2,A,392772,CA,Mobile,Apple,Chrome,A,0
0,3,E,484872,CA,Mobile,Windows,Safari,B,0
0,5,E,475887,NY,Desktop,Apple,Chrome,A,0
1,1,D,114784,NJ,Mobile,Apple,Opera,B,0
0,5,E,275890,TX,Mobile,Apple,Chrome,B,0
1,4,E,120339,CA,Mobile,Windows,Chrome,B,0
0,4,NA,435223,CA,Mobile,Apple,Safari,B,0
0,2,NA,280788,NJ,Desktop,Apple,Chrome,A,0
0,2,D,433850,NY,Mobile,Windows,Chrome,A,0
1,5,D,171781,NY,Mobile,Apple,Opera,B,0
0,4,E,281497,CA,Desktop,Apple,Safari,B,0
0,3,E,114042,CA,Desktop,Apple,Opera,B,0
0,4,A,413928,NY,Mobile,Apple,Chrome,A,0
0,2,E,330671,NY,Tablet,Windows,Safari,B,0
1,4,A,420997,NJ,Mobile,Apple,Chrome,B,0
1,4,E,422673,CA,Mobile,Apple,Chrome,A,0
1,5,D,97874,NY,Mobile,Windows,Safari,B,0
0,5,E,151291,NY,Mobile,Apple,Opera,B,0
1,1,E,482251,NY,Mobile,Windows,Chrome,B,0
0,4,B,358676,NY,Mobile,Windows,Chrome,B,0
1,3,A,165147,TX,Mobile,Apple,Chrome,B,0
1,0,C,184744,CA,Mobile,Windows,Chrome,A,0
0,2,A,399975,CA,Tablet,Windows,Safari,B,0
1,2,NA,308119,TX,Desktop,Windows,Chrome,B,0
0,3,C,296274,NY,Mobile,Apple,Safari,A,0
1,0,D,410655,TX,Desktop,Apple,Safari,A,0
1,1,D,147974,CA,Mobile,Windows,Safari,B,0
0,2,A,349487,TX,Mobile,Apple,Chrome,B,0
1,1,D,134549,NY,Mobile,Windows,Opera,A,0
0,5,A,67219,CA,Mobile,Windows,Safari,B,0
1,2,D,278036,NY,Mobile,Apple,Chrome,B,0
1,2,E,334436,NY,Mobile,Windows,Chrome,B,0
0,0,C,487496,CA,Mobile,Apple,Chrome,A,0
1,2,A,319777,NY,Mobile,Windows,Safari,A,0
1,4,D,246072,NY,Mobile,Windows,Chrome,B,0
1,0,D,63670,CA,Desktop,Windows,Safari,B,0
1,4,E,213320,CA,Mobile,Apple,Chrome,A,0
1,3,C,59554,NJ,Mobile,Windows,Safari,B,0
0,4,E,404846,CA,Mobile,Windows,Safari,A,0
0,0,E,499527,NY,Mobile,Apple,Safari,A,0
0,5,C,125344,NY,Desktop,Apple,Safari,A,0
1,4,D,123209,CA,Tablet,Apple,Chrome,A,0
